file,country,law_type,file_type,total_words,eta_count,eta_ratio,eta_transparency,eta_transparent,eta_accountability,eta_disclosure,eta_openness,eta_audit,eta_oversight,eta_publicity,eta_compliance,eta_reporting
AU_public_001.txt,AU,common,public,789,5,0.0063371356147021544,1,0,2,1,0,0,1,0,0,0
AU_public_002.txt,AU,common,public,333,5,0.015015015015015015,2,1,1,1,0,0,0,0,0,0
CA_public_001.txt,CA,common,public,751,5,0.006657789613848202,4,0,0,0,0,0,1,0,0,0
CA_public_004.txt,CA,common,public,679,8,0.011782032400589101,0,0,0,8,0,0,0,0,0,0
CA_public_006.txt,CA,common,public,1507,3,0.0019907100199071004,0,0,0,3,0,0,0,0,0,0
CA_public_009.txt,CA,common,public,455,2,0.004395604395604396,0,1,0,0,0,0,0,1,0,0
CA_public_010.txt,CA,common,public,768,6,0.0078125,2,1,1,0,0,0,1,1,0,0
CA_public_011.txt,CA,common,public,833,3,0.003601440576230492,3,0,0,0,0,0,0,0,0,0
cn_public_005.txt,CN,civil,public,583,2,0.003430531732418525,1,0,1,0,0,0,0,0,0,0
cn_public_007.txt,CN,civil,public,514,4,0.007782101167315175,1,0,1,0,0,0,1,0,1,0
cn_public_009.txt,CN,civil,public,577,6,0.010398613518197574,4,0,2,0,0,0,0,0,0,0
cn_public_012.txt,CN,civil,public,1060,4,0.0037735849056603774,2,0,1,0,0,0,1,0,0,0
cn_public_013.txt,CN,civil,public,3410,8,0.002346041055718475,1,1,4,1,1,0,0,0,0,0
cn_public_014.txt,CN,civil,public,4144,18,0.004343629343629344,2,1,4,0,2,1,7,0,1,0
cn_public_015.txt,CN,civil,public,1226,1,0.0008156606851549756,1,0,0,0,0,0,0,0,0,0
cn_public_016.txt,CN,civil,public,3589,2,0.0005572582892170521,0,0,1,0,0,0,1,0,0,0
cn_public_017.txt,CN,civil,public,536,5,0.009328358208955223,4,1,0,0,0,0,0,0,0,0
cn_public_019.txt,CN,civil,public,770,2,0.0025974025974025974,0,0,1,0,0,0,0,1,0,0
cn_public_021.txt,CN,civil,public,751,13,0.017310252996005325,6,3,0,2,1,0,1,0,0,0
cn_public_022.txt,CN,civil,public,558,9,0.016129032258064516,3,1,1,0,0,0,3,0,1,0
cn_public_023.txt,CN,civil,public,544,5,0.009191176470588236,3,1,0,0,0,0,1,0,0,0
cn_public_024.txt,CN,civil,public,1265,5,0.003952569169960474,1,1,0,1,2,0,0,0,0,0
cn_public_025.txt,CN,civil,public,526,3,0.005703422053231939,3,0,0,0,0,0,0,0,0,0
cn_public_026.txt,CN,civil,public,928,6,0.00646551724137931,3,0,2,1,0,0,0,0,0,0
cn_public_027.txt,CN,civil,public,1170,4,0.003418803418803419,2,0,1,0,0,0,1,0,0,0
cn_public_028.txt,CN,civil,public,1460,12,0.00821917808219178,4,0,3,0,0,1,2,0,2,0
Colombia_public_001.txt,COLOMBIA,civil,public,756,2,0.0026455026455026454,1,0,1,0,0,0,0,0,0,0
FR_public_001.txt,FR,civil,public,708,0,0.0,0,0,0,0,0,0,0,0,0,0
FR_public_002.txt,FR,civil,public,440,3,0.006818181818181818,2,0,0,0,0,0,0,0,1,0
FR_public_005.txt,FR,civil,public,641,2,0.0031201248049922,0,1,0,0,0,0,0,0,1,0
GE_public_002.txt,GE,civil,public,594,2,0.003367003367003367,1,1,0,0,0,0,0,0,0,0
GE_public_003.txt,GE,civil,public,2461,3,0.001219016659894352,0,0,1,0,0,0,1,0,0,1
GE_public_004.txt,GE,civil,public,1060,1,0.0009433962264150943,0,0,0,0,0,0,0,0,0,1
GE_public_005.txt,GE,civil,public,339,2,0.0058997050147492625,1,1,0,0,0,0,0,0,0,0
GE_public_006.txt,GE,civil,public,4493,7,0.0015579790785666592,4,0,0,0,0,0,2,0,1,0
GE_public_007.txt,GE,civil,public,494,2,0.004048582995951417,1,0,0,0,0,0,0,0,0,1
GE_public_009.txt,GE,civil,public,1084,5,0.004612546125461255,0,5,0,0,0,0,0,0,0,0
GE_public_010.txt,GE,civil,public,354,4,0.011299435028248588,1,0,0,0,0,0,0,0,3,0
GE_public_011.txt,GE,civil,public,1025,13,0.012682926829268294,8,1,0,3,0,0,0,0,1,0
GE_public_012.txt,GE,civil,public,1186,31,0.026138279932546374,20,0,6,2,1,0,2,0,0,0
GE_public_013.txt,GE,civil,public,1146,5,0.004363001745200698,1,0,0,0,0,0,3,0,1,0
India_public_001.txt,INDIA,common,public,520,4,0.007692307692307693,2,2,0,0,0,0,0,0,0,0
JP_public_008.txt,JP,civil,public,778,2,0.002570694087403599,1,0,1,0,0,0,0,0,0,0
Morocco_public_001.txt,MOROCCO,civil,public,547,6,0.010968921389396709,4,0,0,0,0,2,0,0,0,0
switerland_public_001.txt,SWITERLAND,civil,public,1302,7,0.005376344086021506,3,0,0,4,0,0,0,0,0,0
UK_public_001.txt,UK,common,public,282,3,0.010638297872340425,1,0,1,0,0,0,0,0,1,0
UK_public_003.txt,UK,common,public,493,5,0.010141987829614604,3,0,0,0,1,0,0,0,1,0
UK_public_008.txt,UK,common,public,894,6,0.006711409395973154,2,0,2,0,0,0,0,0,2,0
UK_public_009.txt,UK,common,public,297,2,0.006734006734006734,0,0,0,2,0,0,0,0,0,0
UK_public_012.txt,UK,common,public,517,4,0.007736943907156673,2,0,2,0,0,0,0,0,0,0
UK_public_014.txt,UK,common,public,262,5,0.019083969465648856,3,0,2,0,0,0,0,0,0,0
UK_public_023.txt,UK,common,public,809,18,0.022249690976514216,5,1,3,0,0,0,6,0,2,1
UK_public_024.txt,UK,common,public,436,6,0.013761467889908258,5,0,0,0,0,0,0,0,1,0
UK_public_025.txt,UK,common,public,908,12,0.013215859030837005,7,0,2,0,1,0,2,0,0,0
US_public_002.txt,US,common,public,1152,25,0.021701388888888888,23,0,0,1,0,0,1,0,0,0
US_public_003.txt,US,common,public,847,20,0.023612750885478158,8,1,2,0,0,0,3,0,6,0
US_public_011.txt,US,common,public,1840,8,0.004347826086956522,1,0,2,1,0,0,4,0,0,0
US_public_013.txt,US,common,public,1496,6,0.004010695187165776,1,0,0,2,0,0,0,0,3,0
US_public_016.txt,US,common,public,255,1,0.00392156862745098,0,0,0,1,0,0,0,0,0,0
US_public_017.txt,US,common,public,560,4,0.007142857142857143,1,0,0,3,0,0,0,0,0,0
US_public_019.txt,US,common,public,342,1,0.0029239766081871343,0,0,1,0,0,0,0,0,0,0
US_public_020.txt,US,common,public,892,13,0.014573991031390135,0,0,0,0,0,0,0,0,1,12
US_public_021.txt,US,common,public,506,3,0.005928853754940711,1,0,1,0,0,0,0,0,1,0
US_public_022.txt,US,common,public,1730,24,0.013872832369942197,8,1,8,0,1,1,5,0,0,0
US_public_023.txt,US,common,public,4499,70,0.01555901311402534,8,0,0,62,0,0,0,0,0,0
US_public_024.txt,US,common,public,969,7,0.007223942208462332,2,0,1,1,0,0,2,0,1,0
US_public_025.txt,US,common,public,666,5,0.0075075075075075074,2,1,2,0,0,0,0,0,0,0
US_public_026.txt,US,common,public,660,8,0.012121212121212121,2,2,0,0,0,0,2,0,0,2
US_public_027.txt,US,common,public,845,6,0.007100591715976331,5,0,0,0,0,0,1,0,0,0
US_public_028.txt,US,common,public,605,4,0.006611570247933884,3,0,0,0,0,0,1,0,0,0
US_public_029.txt,US,common,public,409,9,0.022004889975550123,6,1,2,0,0,0,0,0,0,0
US_public_030.txt,US,common,public,718,3,0.004178272980501393,3,0,0,0,0,0,0,0,0,0
